# This file is derived from: https://green.adam.ne.jp/roomazi/namae.html

# family names
あい,Ai
うね,Une
うねめ,Uneme
うねもと,Unemoto
うの,Uno
うのかわ,Unokawa
うのき,Unoki
うのざわ,Unozawa
うぶかた,Ubukata
うべ,Ube
うまごえ,Umagoe
うまこし,Umakosi
うまごし,Umagosi
うまだ,Umada
うまの,Umano
うまば,Umaba
うまぶち,Umabuti
うまやはら,Umayahara
うまわたり,Umawatari
うみつ,Umitu
うみの,Umino
うみべ,Umibe
うめい,Umei
うめおか,Umeoka
うめがい,Umegai
うめがき,Umegaki
うめかわ,Umekawa
うめがわ,Umegawa
うめき,Umeki
うめきた,Umekita
うめさき,Umesaki
うめざき,Umezaki
うめさわ,Umesawa
うめざわ,Umezawa
うめず,Umezu
うめた,Umeta
うめだ,Umeda
うめたに,Umetani
うめつ,Umetu
うめづ,Umezu
うめの,Umeno
うめばやし,Umebayasi
うめはら,Umehara
うめばら,Umebara
うめみや,Umemiya
うめむら,Umemura
うめもと,Umemoto
うめもり,Umemori
うめや,Umeya
うめやま,Umeyama
うやま,Uyama
うら,Ura
うらい,Urai
うらおか,Uraoka
うらかみ,Urakami
うらがみ,Uragami
うらかわ,Urakawa
うらがわ,Uragawa
うらき,Uraki
うらぎ,Uragi
うらぐち,Uraguti
うらごう,Uragô
うらさき,Urasaki
